,date,user_id,ad_id,mails,phones
0,2019-04-01,2817430,57528756,0,
1,2019-04-01,542585,48048242,0,
2,2019-04-01,4830212,55482092,0,
3,2019-04-01,353522,57425992,0,
4,2019-04-01,2804344,50589192,0,
5,2019-04-01,98373,53047167,0,
6,2019-04-01,3521044,57605856,0,
7,2019-04-01,530533,48046350,0,
8,2019-04-01,2467510,57931132,0,
9,2019-04-01,353522,57893320,0,
10,2019-04-01,2467510,53576808,0,
11,2019-04-01,875584,55394876,0,
12,2019-04-01,1649380,58216316,0,
13,2019-04-01,738451,58331376,0,
14,2019-04-01,738451,53865784,0,
15,2019-04-01,2088446,54713020,0,
16,2019-04-01,738451,57292804,0,
17,2019-04-01,514495,53883252,0,
18,2019-04-02,4830212,55482092,0,
19,2019-04-02,2297140,58214640,0,
20,2019-04-02,311180,55386804,0,
21,2019-04-02,3521044,57605856,0,
22,2019-04-02,353522,57893320,0,
23,2019-04-02,2467510,53576808,0,
24,2019-04-02,1424683,56139476,0,
25,2019-04-02,2736150,57682192,0,
26,2019-04-02,514495,53883252,0,
27,2019-04-03,2817430,57528756,0,
28,2019-04-03,4830212,55482092,0,
29,2019-04-03,2804344,50589192,0,
30,2019-04-03,98373,53047167,0,
31,2019-04-03,523357,57725420,0,
32,2019-04-03,2297140,57721400,0,
33,2019-04-03,311180,55386804,0,
34,2019-04-03,98373,55589436,0,
35,2019-04-03,3521044,57605856,0,
36,2019-04-03,530533,48046350,0,
37,2019-04-03,2467510,57931132,0,
38,2019-04-03,2736150,58306552,0,
39,2019-04-03,1424683,56139476,0,
40,2019-04-03,1424683,57620264,0,
41,2019-04-03,738451,53865784,0,
42,2019-04-03,1424683,58086136,0,
43,2019-04-03,921922,57569088,0,
44,2019-04-04,1424683,58235200,0,
45,2019-04-04,1450883,47257966,0,
46,2019-04-04,2817430,57528756,0,
47,2019-04-04,4830212,55482092,0,
48,2019-04-04,98373,53047167,0,
49,2019-04-04,2297140,57721400,0,
50,2019-04-04,98373,55589436,0,
51,2019-04-04,626746,55630912,0,
52,2019-04-04,3521044,57605856,0,
53,2019-04-04,3521044,57385096,0,
54,2019-04-04,2736150,58306552,0,
55,2019-04-04,2467510,57931132,0,
56,2019-04-04,738451,46686670,0,
57,2019-04-04,2467510,53576808,0,
58,2019-04-04,1424683,56139476,0,
59,2019-04-04,738451,53865784,0,
60,2019-04-04,2088446,54713020,0,
61,2019-04-04,514495,57728228,0,
62,2019-04-04,921922,57569088,0,
63,2019-04-05,650879,58229564,0,
64,2019-04-05,2467510,58501948,0,
65,2019-04-05,98373,55589436,0,
66,2019-04-05,1424683,56139476,0,
67,2019-04-05,206605,57476512,0,
68,2019-04-05,2297140,58236300,0,
69,2019-04-05,2804344,50589192,0,
70,2019-04-05,68673,58333844,0,
71,2019-04-05,2467510,57930064,0,
72,2019-04-05,530533,48046350,0,
73,2019-04-05,2467510,53576808,0,
74,2019-04-05,2467510,57931132,0,
75,2019-04-05,3994924,58118012,0,
76,2019-04-05,14738,49204594,0,
77,2019-04-05,999355,55343388,0,
78,2019-04-05,3521044,57605856,0,
79,2019-04-05,514495,57728228,0,
80,2019-04-05,353522,57893320,0,
81,2019-04-05,98373,48050990,0,
82,2019-04-05,2297140,57721400,0,
83,2019-04-05,98373,53047167,0,
